date,index
2002-08-31,"1,498 个检索结果"
2002-09-30,"1,809 个检索结果"
2002-10-31,"1,784 个检索结果"
2002-11-30,"1,587 个检索结果"
2002-12-31,"1,505 个检索结果"
2003-01-31,"1,576 个检索结果"
2003-02-28,"1,662 个检索结果"
2003-03-31,"2,060 个检索结果"
2003-04-30,"1,851 个检索结果"
2003-05-31,"1,639 个检索结果"
2003-06-30,"1,653 个检索结果"
2003-07-31,"1,623 个检索结果"
2003-08-31,"1,414 个检索结果"
2003-09-30,"1,529 个检索结果"
2003-10-31,"1,633 个检索结果"
2003-11-30,"1,211 个检索结果"
2003-12-31,"1,334 个检索结果"
2004-01-31,"1,456 个检索结果"
2004-02-29,"1,539 个检索结果"
2004-03-31,"1,595 个检索结果"
2004-04-30,"1,374 个检索结果"
2004-05-31,"1,403 个检索结果"
2004-06-30,"1,380 个检索结果"
2004-07-31,"1,384 个检索结果"
2004-08-31,"1,228 个检索结果"
2004-09-30,"1,317 个检索结果"
2004-10-31,"1,440 个检索结果"
2004-11-30,"1,390 个检索结果"
2004-12-31,"1,295 个检索结果"
2005-01-31,"1,343 个检索结果"
2005-02-28,"1,395 个检索结果"
2005-03-31,"1,503 个检索结果"
2005-04-30,"1,405 个检索结果"
2005-05-31,"1,452 个检索结果"
2005-06-30,"1,485 个检索结果"
2005-07-31,"1,425 个检索结果"
2005-08-31,"1,402 个检索结果"
2005-09-30,"1,383 个检索结果"
2005-10-31,"1,387 个检索结果"
2005-11-30,"1,323 个检索结果"
2005-12-31,"1,222 个检索结果"
2006-01-31,"1,401 个检索结果"
2006-02-28,"1,423 个检索结果"
2006-03-31,"1,560 个检索结果"
2006-04-30,"1,393 个检索结果"
2006-05-31,"1,446 个检索结果"
2006-06-30,"1,494 个检索结果"
2006-07-31,"1,595 个检索结果"
2006-08-31,"1,469 个检索结果"
2006-09-30,"1,418 个检索结果"
2006-10-31,"1,636 个检索结果"
2006-11-30,"1,627 个检索结果"
2006-12-31,"1,472 个检索结果"
2007-01-31,"1,625 个检索结果"
2007-02-28,"1,606 个检索结果"
2007-03-31,"1,646 个检索结果"
2007-04-30,"1,558 个检索结果"
2007-05-31,"1,466 个检索结果"
2007-06-30,"1,449 个检索结果"
2007-07-31,"1,226 个检索结果"
2007-08-31,"1,060 个检索结果"
2007-09-30,"1,171 个检索结果"
2007-10-31,"1,549 个检索结果"
2007-11-30,"1,390 个检索结果"
2007-12-31,"1,172 个检索结果"
2008-01-31,"1,225 个检索结果"
2008-02-29,"1,320 个检索结果"
2008-03-31,"1,327 个检索结果"
2008-04-30,"1,444 个检索结果"
2008-05-31,"1,561 个检索结果"
2008-06-30,"1,509 个检索结果"
2008-07-31,"1,509 个检索结果"
2008-08-31,"1,422 个检索结果"
2008-09-30,"1,331 个检索结果"
2008-10-31,"1,404 个检索结果"
2008-11-30,"1,381 个检索结果"
2008-12-31,"1,024 个检索结果"
2009-01-31,"1,694 个检索结果"
2009-02-28,"1,622 个检索结果"
2009-03-31,"1,829 个检索结果"
2009-04-30,"2,015 个检索结果"
2009-05-31,"2,004 个检索结果"
2009-06-30,"2,100 个检索结果"
2009-07-31,"2,005 个检索结果"
2009-08-31,"1,836 个检索结果"
2009-09-30,"2,162 个检索结果"
2009-10-31,"2,281 个检索结果"
2009-11-30,"2,079 个检索结果"
2009-12-31,"2,045 个检索结果"
2010-01-31,"2,285 个检索结果"
2010-02-28,"2,601 个检索结果"
2010-03-31,"2,897 个检索结果"
2010-04-30,"2,650 个检索结果"
2010-05-31,"2,862 个检索结果"
2010-06-30,"2,888 个检索结果"
2010-07-31,"2,619 个检索结果"
2010-08-31,"2,418 个检索结果"
2010-09-30,"2,624 个检索结果"
2010-10-31,"2,563 个检索结果"
2010-11-30,"2,805 个检索结果"
2010-12-31,"2,824 个检索结果"
2011-01-31,"2,336 个检索结果"
2011-02-28,"2,380 个检索结果"
2011-03-31,"2,765 个检索结果"
2011-04-30,"2,449 个检索结果"
2011-05-31,"2,552 个检索结果"
2011-06-30,"2,408 个检索结果"
2011-07-31,"2,335 个检索结果"
2011-08-31,"2,494 个检索结果"
2011-09-30,"2,792 个检索结果"
2011-10-31,"3,024 个检索结果"
2011-11-30,"3,282 个检索结果"
2011-12-31,"3,161 个检索结果"
2012-01-31,"3,185 个检索结果"
2012-02-29,"3,516 个检索结果"
2012-03-31,"3,566 个检索结果"
2012-04-30,"3,625 个检索结果"
2012-05-31,"3,708 个检索结果"
2012-06-30,"3,486 个检索结果"
2012-07-31,"3,423 个检索结果"
2012-08-31,"3,147 个检索结果"
2012-09-30,"3,425 个检索结果"
2012-10-31,"3,902 个检索结果"
2012-11-30,"3,680 个检索结果"
2012-12-31,"3,568 个检索结果"
2013-01-31,"3,648 个检索结果"
2013-02-28,"3,905 个检索结果"
2013-03-31,"3,780 个检索结果"
2013-04-30,"4,110 个检索结果"
2013-05-31,"3,622 个检索结果"
2013-06-30,"3,612 个检索结果"
2013-07-31,"3,235 个检索结果"
2013-08-31,"3,191 个检索结果"
2013-09-30,"3,869 个检索结果"
2013-10-31,"3,834 个检索结果"
2013-11-30,"3,921 个检索结果"
2013-12-31,"3,364 个检索结果"
2014-01-31,"3,423 个检索结果"
2014-02-28,"3,511 个检索结果"
2014-03-31,"3,959 个检索结果"
2014-04-30,"3,738 个检索结果"
2014-05-31,"3,794 个检索结果"
2014-06-30,"3,992 个检索结果"
2014-07-31,"5,007 个检索结果"
2014-08-31,"4,043 个检索结果"
2014-09-30,"4,328 个检索结果"
2014-10-31,"3,890 个检索结果"
2014-11-30,"3,610 个检索结果"
2014-12-31,"3,629 个检索结果"
2015-01-31,"4,056 个检索结果"
2015-02-28,"4,028 个检索结果"
2015-03-31,"4,646 个检索结果"
2015-04-30,"4,484 个检索结果"
2015-05-31,"3,905 个检索结果"
2015-06-30,"3,862 个检索结果"
2015-07-31,"4,512 个检索结果"
2015-08-31,"3,950 个检索结果"
2015-09-30,"4,233 个检索结果"
2015-10-31,"4,430 个检索结果"
2015-11-30,"4,028 个检索结果"
2015-12-31,"4,066 个检索结果"
2016-01-31,"4,157 个检索结果"
2016-02-29,"4,231 个检索结果"
2016-03-31,"4,487 个检索结果"
2016-04-30,"4,301 个检索结果"
2016-05-31,"4,607 个检索结果"
2016-06-30,"4,768 个检索结果"
2016-07-31,"4,531 个检索结果"
2016-08-31,"4,473 个检索结果"
2016-09-30,"4,908 个检索结果"
2016-10-31,"4,507 个检索结果"
2016-11-30,"4,313 个检索结果"
2016-12-31,"4,247 个检索结果"
2017-01-31,"4,556 个检索结果"
2017-02-28,"4,677 个检索结果"
2017-03-31,"5,235 个检索结果"
2017-04-30,"5,373 个检索结果"
2017-05-31,"5,466 个检索结果"
2017-06-30,"5,216 个检索结果"
2017-07-31,"5,640 个检索结果"
2017-08-31,"5,734 个检索结果"
2017-09-30,"6,243 个检索结果"
2017-10-31,"6,565 个检索结果"
2017-11-30,"6,751 个检索结果"
2017-12-31,"6,813 个检索结果"
2018-01-31,"7,569 个检索结果"
2018-02-28,"6,604 个检索结果"
2018-03-31,"7,996 个检索结果"
2018-04-30,"8,516 个检索结果"
2018-05-31,"9,522 个检索结果"
2018-06-30,"8,333 个检索结果"
2018-07-31,"6,453 个检索结果"
2018-08-31,"5,656 个检索结果"
2018-09-30,"5,887 个检索结果"
2018-10-31,"7,011 个检索结果"
2018-11-30,"6,380 个检索结果"
2018-12-31,"5,707 个检索结果"
2019-01-31,"6,171 个检索结果"
2019-02-28,"6,225 个检索结果"
2019-03-31,"6,110 个检索结果"
2019-04-30,"6,121 个检索结果"
2019-05-31,"6,704 个检索结果"
2019-06-30,"7,021 个检索结果"
2019-07-31,"7,377 个检索结果"
2019-08-31,"6,445 个检索结果"
2019-09-30,"6,520 个检索结果"
2019-10-31,"6,925 个检索结果"
2019-11-30,"6,084 个检索结果"
2019-12-31,"5,817 个检索结果"
2020-01-31,"7,453 个检索结果"
2020-02-29,"5,966 个检索结果"
2020-03-31,"4,779 个检索结果"
2020-04-30,"4,357 个检索结果"
2020-05-31,"4,981 个检索结果"
2020-06-30,"5,318 个检索结果"
2020-07-31,"6,104 个检索结果"
2020-08-31,"5,643 个检索结果"
2020-09-30,"5,833 个检索结果"
2020-10-31,"5,876 个检索结果"
2020-11-30,"5,286 个检索结果"
2020-12-31,"5,943 个检索结果"
2021-01-31,"6,031 个检索结果"
2021-02-28,"6,122 个检索结果"
2021-03-31,"6,893 个检索结果"
2021-04-30,"6,626 个检索结果"
2021-05-31,"7,061 个检索结果"
2021-06-30,"7,045 个检索结果"
2021-07-31,"6,739 个检索结果"
2021-08-31,"6,896 个检索结果"
2021-09-30,"7,312 个检索结果"
2021-10-31,"7,604 个检索结果"
2021-11-30,"7,727 个检索结果"
2021-12-31,"7,617 个检索结果"
2022-01-31,"7,568 个检索结果"
2022-02-28,"8,249 个检索结果"
2022-03-31,"9,458 个检索结果"
2022-04-30,"7,032 个检索结果"
2022-05-31,"7,534 个检索结果"
2022-06-30,"7,388 个检索结果"
2022-07-31,"6,840 个检索结果"
2022-08-31,"7,809 个检索结果"
2022-09-30,"6,992 个检索结果"
2022-10-31,"7,653 个检索结果"
2022-11-30,"7,711 个检索结果"
2022-12-31,"6,923 个检索结果"
2023-01-31,"6,486 个检索结果"
2023-02-28,"7,627 个检索结果"
2023-03-31,"7,314 个检索结果"
2023-04-30,"6,394 个检索结果"
